Title Number,Title Name
li 1,"
"
li 2,
li 3,"

Austria
135,205
"
li 4,"

Belgium
106,847
"
li 5,"

Bulgaria
198,439
"
li 6,"

Croatia
236,320
"
li 7,"

Cyprus
9,925
"
li 8,"

Czech Republic
283,032
"
li 9,"

Denmark
52,290
"
li 10,"

Estonia
119,964
"
li 11,"

EU Institutions
189,075
"
li 12,"

Finland
69,002
"
li 13,"

France
2.8 Million
"
li 14,"

Georgia
381,127
"
li 15,"

Germany
576,932
"
li 16,"

Greece
63,819
"
li 17,"

Hungary
213,851
"
li 18,"

Iceland
3,116
"
li 19,"

Ireland
142,129
"
li 20,"

Italy
14.0 Million
"
li 21,"

Latvia
160,242
"
li 22,"

Lithuania
202,288
"
li 23,"

Luxembourg
10,024
"
li 24,"

Malta
8,950
"
li 25,"

Netherlands
132,879
"
li 26,"

Norway
276,538
"
li 27,"

Poland
2.9 Million
"
li 28,"

Portugal
1.5 Million
"
li 29,"

Romania
21.1 Million
"
li 30,"

Slovakia
548,191
"
li 31,"

Slovenia
143,278
"
li 32,"

Spain
2.4 Million
"
li 33,"

Sweden
132,373
"
li 34,"

Switzerland
125,240
"
li 35,"

United Kingdom
539,999
"
li 36,"
"
